Source Name,Source Type,Tier 1,Tier 2,Tier 3,Population Index,overlap_uniques
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Content Sharers,Food & Drink,,0.29,20
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Content Sharers,Health & Fitness,,0.69,28
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Content Sharers,Hobbies & Interests,,9.59,270
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Content Sharers,Home & Garden,,0.63,10
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Content Sharers,"Law, Gov't and Politics",,0.26,13
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Content Sharers,Personal Finance,,0.77,12
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Content Sharers,Pets,,0.18,2
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Content Sharers,Religion & Spirituality,,0.23,5
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Content Sharers,Shopping,,0.35,24
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Content Sharers,Society,,0.18,2
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Content Sharers,Sports,,2.54,55
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Content Sharers,Technology & Computing,,0.59,25
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Content Sharers,Travel,,0.43,15
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Engagers,Arts & Entertainment,,0.66,255
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Engagers,Automotive,,0.86,48
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Engagers,Business,,1,207
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Engagers,Education,,0.53,74
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Engagers,Family & Parenting,,0.18,23
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Engagers,Food & Drink,,1.04,313
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Engagers,Health & Fitness,,0.7,117
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Engagers,Hobbies & Interests,,4.75,611
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Engagers,Home & Garden,,0.94,145
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Engagers,"Law, Gov't and Politics",,0.44,75
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Engagers,News,,0.61,24
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Engagers,Personal Finance,,0.98,61
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Engagers,Pets,,0.43,27
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Engagers,Real Estate,,0.77,30
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Engagers,Religion & Spirituality,,6.64,372
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Engagers,Science,,0.73,25
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Engagers,Shopping,,0.75,200
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Engagers,Society,,0.79,40
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Engagers,Sports,,1.72,429
#ADV#Sky Ride#Sports#Cycling#UK#HP# - 15200,Pixel-Firings,Engagers,Style & Fashion,,0.32,7
