Source Name,Source Type,Tier 1,Tier 2,Tier 3,Population Index,overlap_uniques
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Site Visitors,Education,,1.18,165
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Site Visitors,Family & Parenting,,1.15,50
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Site Visitors,Food & Drink,,0.92,204
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Site Visitors,Health & Fitness,,1.69,295
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Site Visitors,Hobbies & Interests,,2.07,364
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Site Visitors,Home & Garden,,2.23,201
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Site Visitors,"Law, Gov't and Politics",,0.78,152
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Site Visitors,News,,1.13,59
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Site Visitors,Personal Finance,,2.97,232
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Site Visitors,Pets,,0.68,36
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Site Visitors,Real Estate,,1.89,63
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Site Visitors,Religion & Spirituality,,0.73,40
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Site Visitors,Science,,0.97,27
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Site Visitors,Shopping,,1.43,415
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Site Visitors,Society,,1.29,70
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Site Visitors,Sports,,2.28,384
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Site Visitors,Style & Fashion,,1.7,73
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Site Visitors,Technology & Computing,,2,458
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Site Visitors,Travel,,1.48,234
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Engagers,Arts & Entertainment,,0.79,15
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Engagers,Business,,0.7,7
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Engagers,Family & Parenting,,0.23,2
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Engagers,Food & Drink,,1.33,22
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Engagers,Health & Fitness,,0.58,5
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Engagers,"Law, Gov't and Politics",,0.81,7
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Engagers,Shopping,,2.04,26
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19000,Pixel-Firings,Engagers,Sports,,2.22,28
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19187,Pixel-Firings,Demographics,Age,18 - 24,0.47,113
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19187,Pixel-Firings,Demographics,Age,25 - 34,2.27,807
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19187,Pixel-Firings,Demographics,Age,35 - 44,3.44,925
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19187,Pixel-Firings,Demographics,Age,45 - 54,2.74,522
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19187,Pixel-Firings,Demographics,Age,55 - 64,1.57,272
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19187,Pixel-Firings,Demographics,Age,65+,1.02,257
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19187,Pixel-Firings,Demographics,Education,> Other,1.43,365
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19187,Pixel-Firings,Demographics,Education,> Post Grad,1.34,572
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19187,Pixel-Firings,Demographics,Education,> Secondary,0.67,169
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19187,Pixel-Firings,Demographics,Education,> University,1.49,645
#ADV#BMW#AutoMotive#Buying/Selling Cars#UK#C3#Active Evaluation#DownloadBrochure - 19187,Pixel-Firings,Demographics,Education,> Vocational,4.18,718
